Sum of Closed PnL,Column Labels,,,,,,,,,,
Row Labels,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,(blank),Grand Total,,,,
High,846556.0849,831618.3002,3329120.181,1362223.108,1043283.541,42417.51309,7455218.729,,,,
Low,-107445.8364,1883553.01,28035.26081,787906.1645,249637.1341,54.48104,2841740.215,,,,
Grand Total,739110.2485,2715171.311,3357155.442,2150129.273,1292920.676,42471.99413,10296958.94,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of Win
,,,,,,,,,,Extreme Fear,0.370607477
,,,,,,,,,,Extreme Greed,0.464942989
,Row Labels,Sum of Closed PnL,,,,,,,,Fear,0.420767502
,Extreme Fear,739110.2485,,,,,,,,Greed,0.384827943
,Extreme Greed,2715171.311,,,,,,,,Neutral,0.396990925
,Fear,3357155.442,,,,,,,,(blank),1
,Greed,2150129.273,,,,,,,,Grand Total,0.411264818
,Neutral,1292920.676,,,,,,,,,
,(blank),42471.99413,,,,,,,,,
,Grand Total,10296958.94,,,,,,,,,
